From,To
221260_s_at,81566
213878_at,79912
207575_at,342096
214849_at,222658
207036_x_at,2906
203382_s_at,348
202367_at,1523
203008_x_at,10190
216114_at,51517
209382_at,10623
218298_s_at,80017
203497_at,5469
219959_at,55034
202975_s_at,22836
204463_s_at,1909
204051_s_at,6424
201333_s_at,23365
206063_x_at,23759
202083_s_at,6397
207597_at,8749
213415_at,1193
204190_at,10208
213896_x_at,317662
219092_s_at,64768
210394_x_at,548313
213044_at,6093
202365_at,84747
212401_s_at,728642
214342_at,222255
212175_s_at,204
205229_s_at,1690
203837_at,4217
208190_s_at,51599
209334_s_at,5715
210289_at,51471
216457_s_at,10291
207831_x_at,1725
209561_at,7059
217097_s_at,57157
207710_at,26239
202845_s_at,10928
205972_at,10991
217485_x_at,5379
201303_at,9775
221668_s_at,64446
215925_s_at,971
205681_at,597
206729_at,943
206722_s_at,9170
219222_at,64080
216877_at,100505498
218578_at,79577
212668_at,57154
215072_x_at,26098
204259_at,4316
203031_s_at,7390
220399_at,79854
209022_at,10735
204181_s_at,23099
221535_at,55341
205073_at,1573
205314_x_at,6645
216632_at,89795
201808_s_at,2022
218575_at,64682
218248_at,63901
209116_x_at,3043
201452_at,6009
203480_s_at,54726
218494_s_at,56731
208688_x_at,8662
52255_s_at,50509
209620_s_at,22
215980_s_at,3508
205502_at,1586
215881_x_at,10214
210121_at,8707
220206_at,79830
216194_s_at,1155
200854_at,9611
219045_at,54509
212047_s_at,26001
212733_at,9711
217497_at,1890
212907_at,7779
215643_at,223117
213193_x_at,28639
210765_at,1434
209377_s_at,9324
219478_at,58189
211969_at,3320
221874_at,57535
202764_at,6786
202330_s_at,7374
203972_s_at,8504
212239_at,5295
200701_at,10577
54632_at,63892
217124_at,23288
212477_at,23527
220667_at,25862
214305_s_at,23451
204704_s_at,229
207478_at,100128329
217202_s_at,2752
AFFX-HSAC07/X00351_5_at,60
207380_x_at,27035
206479_at,4308
203603_s_at,9839
219883_at,25858
209258_s_at,9126
221951_at,283232
218360_at,57403
218053_at,55660
218935_at,30845
210322_x_at,7404
201503_at,10146
220576_at,80055
205602_x_at,5676
222028_at,7596
213257_at,23098
218788_s_at,64754
208201_at,100288687
213933_at,5733
201692_at,10280
212365_at,4430
219134_at,64123
211796_s_at,28639
201583_s_at,10483
206868_at,9754
209423_s_at,51230
215779_s_at,8339
216103_at,26027
206876_at,6492
215757_at,5591
213577_at,6713
204037_at,1902
211595_s_at,64963
209858_x_at,65258
209104_s_at,55651
221575_at,51540
41657_at,6794
215188_at,8428
201433_s_at,9791
220486_x_at,101928589
210132_at,1944
200803_s_at,7009
215799_at,101927051
221374_at,8823
211680_at,10611
215721_at,3500
205849_s_at,7381
219311_at,79959
204946_s_at,7156
204076_at,9583
219345_at,51027
213744_at,26033
212584_at,9716
221799_at,54480
210939_s_at,2911
212749_s_at,25898
208912_s_at,1267
207759_s_at,100303453
209712_at,23169
208539_x_at,6701
219784_at,100506581
204281_at,7004
209730_at,6405
208206_s_at,10235
215366_at,23161
219525_at,55244
203715_at,6905
217099_s_at,50628
213735_s_at,1329
209769_s_at,100526833
214068_at,146227
219265_at,79817
206125_s_at,11202
221733_s_at,54865
201344_at,7322
204110_at,3176
206158_s_at,7555
218852_at,55012
211351_at,100505879
220892_s_at,29968
212298_at,8829
206689_x_at,10524
209358_at,6882
208732_at,5862
203130_s_at,3800
208532_x_at,57830
218941_at,26190
213861_s_at,25895
216501_at,55697
205908_s_at,4958
220970_s_at,730755
200819_s_at,6209
209925_at,100506658
206823_at,26013
213679_at,92104
218264_at,56647
208764_s_at,517
221462_x_at,55554
214815_at,51592
221680_s_at,51513
207357_s_at,55568
200653_s_at,801
203926_x_at,513
200916_at,8407
220438_at,54814
204168_at,4258
213441_x_at,25803
204663_at,10873
221885_at,27147
213059_at,90993
214683_s_at,1195
208099_x_at,23093
211622_s_at,377
201704_at,955
216390_at,3931
219832_s_at,3229
216338_s_at,25844
212827_at,3507
206154_at,6017
218789_s_at,54494
204941_s_at,222
203867_s_at,54475
220200_s_at,387893
203440_at,1000
204156_at,23387
210084_x_at,7177
37278_at,6901
221614_s_at,9501
209621_s_at,27295
214905_at,5923
219981_x_at,84914
203325_s_at,1289
203471_s_at,5341
213790_at,8038
221399_at,60401
203449_s_at,7013
208003_s_at,10725
214946_x_at,253725
206834_at,3045
218536_at,57380
204179_at,4151
207919_at,417
212697_at,162427
202553_s_at,25949
201787_at,2192
201995_at,2131
201532_at,5684
207530_s_at,1030
213176_s_at,8425
214311_at,7542
203612_at,705
220621_at,2301
204078_at,10609
214970_s_at,6480
208087_s_at,81030
219161_s_at,100529251
203428_s_at,25842
205296_at,5933
218185_s_at,55156
215237_at,23348
213838_at,51406
220430_at,79927
205016_at,7039
204335_at,55702
213382_at,11223
208911_s_at,5162
204408_at,27301
200668_s_at,7323
205848_at,2620
202268_s_at,8883
211213_at,5001
219718_at,55277
210321_at,2999
204967_at,357
212664_at,10382
217227_x_at,28823
217711_at,7010
212751_at,7334
205449_at,29901
214599_at,3713
209518_at,6602
207444_at,9390
206277_at,5029
217927_at,28972
216885_s_at,50717
202084_s_at,6397
214909_s_at,23564
219155_at,26207
213962_s_at,23141
207951_at,1447
205533_s_at,1004
221509_at,8562
220257_x_at,56001
208840_s_at,9908
221044_s_at,445372
217513_at,284021
205334_at,6271
207714_s_at,871
218504_at,51011
208012_x_at,3431
202431_s_at,4609
214193_s_at,27042
215743_at,9397
208198_x_at,3806
214766_s_at,25909
204106_at,7016
205243_at,64849
204532_x_at,54575
215275_at,80342
216720_at,113612
205277_at,7799
204698_at,3669
204140_at,8460
201937_s_at,23549
205043_at,1080
214463_x_at,8363
203604_at,9658
221781_s_at,54431
49306_at,83937
202269_x_at,2633
212680_x_at,26472
203166_at,10428
212269_s_at,8888
206318_at,100526773
213365_at,112479
201659_s_at,400
201921_at,2790
48117_at,112869
201055_s_at,10949
208780_x_at,9218
218448_at,54994
214059_at,10561
206582_s_at,9289
221770_at,6120
202427_s_at,25874
201870_at,10953
202123_s_at,25
210395_x_at,4635
221831_at,7798
212983_at,3265
201571_s_at,1635
208102_s_at,5662
210076_x_at,26135
201549_x_at,10765
211626_x_at,2078
204025_s_at,5134
218358_at,79174
217009_at,5232
201548_s_at,10765
220031_at,56957
202261_at,6944
214084_x_at,653361
221222_s_at,54964
203345_s_at,22823
220843_s_at,25879
220224_at,54363
203779_s_at,10205
212870_at,6655
217964_at,54902
212526_at,23111
203757_s_at,4680
218942_at,79837
218962_s_at,64418
208938_at,5546
213004_at,23452
200804_at,7009
220671_at,25819
217872_at,55011
209772_s_at,100133941
203538_at,819
210872_x_at,8522
204815_s_at,9704
207725_at,5458
211731_x_at,10214
205222_at,1962
205899_at,8900
221486_at,2029
218436_at,64374
206438_x_at,79867
206410_at,8431
221313_at,9293
206097_at,5003
219609_at,79446
202164_s_at,9337
209928_s_at,9242
202995_s_at,2192
211314_at,8913
206088_at,374819
207483_s_at,55832
206176_at,654
202075_s_at,5360
219228_at,55422
208341_x_at,1442
220408_x_at,55578
221732_at,124583
206711_at,9142
220369_at,55671
209998_at,84720
207892_at,959
220228_at,23431
209013_x_at,7204
212004_at,26099
201294_s_at,26118
205489_at,1428
210475_at,5453
219395_at,102466194
207390_s_at,6525
218314_s_at,55216
203216_s_at,4646
203304_at,25805
214354_x_at,6439
208493_at,3207
209268_at,11311
203695_s_at,1687
221000_s_at,81621
205192_at,9020
219739_at,54546
217658_at,90326
220986_s_at,81789
220709_at,80032
203068_at,9903
206694_at,5407
207863_at,141
212732_at,55384
209422_at,51230
216334_s_at,1550
209884_s_at,9497
213764_s_at,8076
212513_s_at,23032
209406_at,9532
210728_s_at,796
207447_s_at,25834
64900_at,79583
204602_at,22943
211945_s_at,3688
207695_s_at,3547
220529_at,79904
220074_at,53841
213517_at,5094
206363_at,4094
212282_at,27346
219246_s_at,79676
207510_at,623
203706_s_at,8324
53991_at,27147
201070_x_at,23451
202036_s_at,6422
220025_at,10716
212279_at,27346
211740_at,3382
213410_at,26098
210807_s_at,9194
221323_at,80329
201746_at,7157
211475_s_at,573
210951_x_at,5873
213908_at,339005
219104_at,50862
221909_at,84900
205831_at,914
218259_at,57496
208709_s_at,4898
200044_at,283459
205251_at,8864
208908_s_at,831
201860_s_at,5327
215707_s_at,5621
205147_x_at,4689
200099_s_at,6189
216930_at,6927
214835_s_at,8801
220439_at,79890
221861_at,408
213669_at,23149
210511_s_at,3624
215481_s_at,5830
200814_at,5720
201533_at,1499
214476_at,7032
203725_at,1647
49452_at,32
219384_s_at,23536
202843_at,4189
202708_s_at,8349
203840_at,8548
211601_at,856
209958_s_at,27241
214646_at,8350
204641_at,4751
204267_x_at,9088
220947_s_at,26000
204222_s_at,11010
201747_s_at,6294
210357_s_at,54498
210212_x_at,100272147
213477_x_at,1915
213398_s_at,56948
212425_at,9522
213578_at,657
222059_at,63925
218886_at,55003
204838_s_at,27030
201268_at,4831
203969_at,8504
219321_at,64398
216850_at,100033416
204926_at,3624
58916_at,100532726
221406_s_at,100532732
219843_at,3652
212010_s_at,55573
216662_at,4648
206938_at,6716
222359_x_at,2531
218431_at,63894
203172_at,9513
201168_x_at,396
214044_at,6262
208522_s_at,5727
208289_s_at,9538
214554_at,8332
214809_at,100294145
204174_at,241
202384_s_at,6949
206425_s_at,7222
214737_x_at,3183
205154_at,10446
214843_s_at,23032
201459_at,10856
212511_at,8301
205914_s_at,2902
211543_s_at,2870
214681_at,2710
204359_at,100506718
208065_at,51046
215895_x_at,123
207184_at,6540
214133_at,4588
212317_at,23534
211137_s_at,27032
210707_x_at,441263
206852_at,2045
217236_x_at,28396
201960_s_at,23077
219683_at,7976
213668_s_at,6659
204758_s_at,9854
218603_at,51696
209490_s_at,80864
202513_s_at,5528
203103_s_at,27339
209853_s_at,10197
215850_s_at,4698
202810_at,4733
222032_s_at,7874
209997_x_at,5108
215917_at,642636
212166_at,23039
214656_x_at,4641
209902_at,545
206931_at,7700
203431_s_at,9743
206065_s_at,1807
219879_s_at,78995
220611_at,1600
202144_s_at,158
221491_x_at,3119
211735_x_at,6440
208396_s_at,5136
203646_at,2230
208919_s_at,65220
209646_x_at,219
203033_x_at,2271
222083_at,10249
202745_at,9101
218893_at,79763
218420_s_at,80209
219310_at,79953
210168_at,729
210000_s_at,8651
209082_s_at,80781
205452_at,9488
206720_at,4249
212974_at,22898
212075_s_at,1457
210145_at,5321
220363_s_at,63916
205788_s_at,441155
201061_s_at,2040
206304_at,4608
207008_at,3579
202664_at,7456
203726_s_at,3909
209314_s_at,10767
221436_s_at,83461
215107_s_at,55001
218078_s_at,51304
204464_s_at,1909
212042_x_at,6129
218373_at,64400
203501_at,10404
217621_at,6530
212982_at,23390
209883_at,23127
201585_s_at,6421
38766_at,100862671
214647_s_at,3077
201064_s_at,100996696
221849_s_at,90379
209913_x_at,100616465
221697_at,440738
209716_at,1435
209435_s_at,9181
217984_at,8635
203864_s_at,88
210733_at,23471
221685_s_at,54908
202317_s_at,10277
203071_at,102465526
219337_at,54991
205560_at,5125
207360_s_at,4923
206263_at,2329
211485_s_at,8817
215682_at,440792
200016_x_at,3178
214271_x_at,6136
219901_at,55785
216481_at,80852
203542_s_at,687
208384_s_at,11043
217008_s_at,2917
218924_s_at,1486
212913_at,100532732
205860_x_at,219595
219038_at,79710
206147_x_at,10389
213296_at,11079
214254_at,4103
210160_at,5049
210514_x_at,3135
219709_x_at,65990
204533_at,3627
214648_at,2880
217430_x_at,1277
207407_x_at,1579
212284_x_at,7178
215833_s_at,56928
206521_s_at,2957
204862_s_at,4832
201758_at,7251
209227_at,7991
33304_at,3669
207804_s_at,2220
55081_at,85377
220989_s_at,81693
203753_at,6925
219129_s_at,79685
216721_at,253512
217533_x_at,114825
205354_at,2593
206162_x_at,6861
65770_at,89941
205267_at,5450
215658_at,100289255
215549_x_at,100128553
219531_at,55722
219113_x_at,51171
204781_s_at,355
211058_x_at,10376
210095_s_at,3486
208750_s_at,100500810
214871_x_at,100287590
215450_at,6635
206830_at,57282
215878_at,3688
215342_s_at,9910
209567_at,23212
215108_x_at,27324
209115_at,9039
200795_at,8404
209181_s_at,26804
211235_s_at,2099
218728_s_at,29097
211032_at,22837
203124_s_at,4891
207012_at,4325
214077_x_at,4213
207233_s_at,4286
214673_s_at,10075
220706_at,11173
213766_x_at,2767
217301_x_at,5928
220392_at,64641
216262_s_at,60436
220059_at,26228
212712_at,157922
220490_at,347735
201173_x_at,10726
205044_at,2568
217442_at,100131825
221859_at,57586
205278_at,2571
204762_s_at,2775
216786_at,401630
205133_s_at,3336
203380_x_at,6430
205854_at,7289
201075_s_at,6599
221704_s_at,79720
218219_s_at,55915
212067_s_at,715
210933_s_at,6624
218237_s_at,81539
211000_s_at,3572
219917_at,29063
204649_at,10024
202262_x_at,23564
209781_s_at,10656
209444_at,5910
207860_at,9437
220389_at,60494
202767_at,53
57588_at,57419
214517_at,3846
205076_s_at,10903
209665_at,11068
203337_x_at,9270
206251_s_at,552
203283_s_at,9653
216153_x_at,8434
221932_s_at,51218
213478_at,23254
204519_s_at,51090
201855_s_at,23300
213230_at,30850
206612_at,786
209962_at,2057
213142_x_at,54103
203595_s_at,24138
217798_at,4848
213303_x_at,51341
211208_s_at,8573
203017_s_at,117178
220315_at,57097
207852_at,6374
202683_s_at,8731
207498_s_at,101929829
206956_at,100527963
209744_x_at,83737
212592_at,3512
216044_x_at,388650
218463_s_at,80198
207342_at,1258
39549_at,4862
220559_at,2019
213117_at,55958
211003_x_at,7052
204659_s_at,2671
211729_x_at,644
243_g_at,4134
201886_at,80344
208261_x_at,3446
214630_at,1585
210135_s_at,6474
208621_s_at,7430
204757_s_at,9854
221186_at,100131532
201743_at,929
207868_at,1135
215810_x_at,667
205097_at,1836
222031_at,389906
207931_s_at,5208
220867_s_at,25769
219023_at,55435
219479_at,79070
217031_at,3890
205189_s_at,2176
209745_at,10229
206862_at,9534
220356_at,10699
201197_at,262
217084_at,28396
210623_at,51035
210182_at,1325
91920_at,63827
207752_x_at,5542
212368_at,23036
207528_s_at,23657
215910_s_at,22862
218936_s_at,29080
221112_at,26280
215891_s_at,2760
204642_at,1901
209715_at,23468
202190_at,1477
209294_x_at,8795
212768_s_at,10562
211861_x_at,940
211660_at,5452
205674_x_at,486
210307_s_at,64410
219874_at,84561
222117_s_at,90956
222132_s_at,55750
200006_at,11315
221020_s_at,81034
213076_at,80271
219598_s_at,51389
219882_at,79739
221624_at,27004
204625_s_at,3690
219232_s_at,112399
219764_at,11211
218814_s_at,55248
202481_at,9249
202469_s_at,11052
219541_at,54923
205170_at,6773
211282_x_at,8718
219571_s_at,7559
205227_at,3556
211392_s_at,23598
220840_s_at,55732
202525_at,5652
206867_at,2646
211486_s_at,3785
202118_s_at,8895
210089_s_at,3910
207237_at,3738
204633_s_at,9252
214859_at,23105
210952_at,11154
211249_at,8111
211883_x_at,634
215508_at,699
203506_s_at,9968
206755_at,1555
207194_s_at,3386
217526_at,84901
209573_s_at,753
207907_at,8740
208309_s_at,10892
203086_at,3796
207678_s_at,11063
221450_x_at,56123
212462_at,23522
205187_at,4090
210953_at,9819
204185_x_at,5481
218022_at,51231
205167_s_at,995
221125_s_at,27094
200870_at,11171
211524_at,4791
206321_at,5989
212731_at,157567
204093_at,902
205840_x_at,2688
212389_at,6305
209554_at,948
215308_at,2547
216330_s_at,5463
203761_at,6503
204013_s_at,9836
202571_s_at,22839
215541_s_at,1729
201394_s_at,10181
213560_at,4616
206175_x_at,7673
222166_at,79095
218517_at,79960
217098_s_at,9753
205516_x_at,25792
202368_s_at,9697
217530_at,6569
201906_s_at,10217
210608_s_at,2524
219069_at,54851
216107_at,100129503
201540_at,2273
205861_at,6689
200922_at,10945
201319_at,10627
221026_s_at,83482
203436_at,10556
203359_s_at,100527950
220401_at,79860
212727_at,1741
201302_at,307
214488_at,5912
212316_at,23225
220139_at,29947
207698_at,26238
213300_at,23130
215091_s_at,2971
208085_s_at,395
222171_s_at,63876
201720_s_at,7805
218050_at,51569
204656_at,6461
201934_at,80335
208747_s_at,716
210257_x_at,8450
209083_at,11151
212196_at,3572
213364_s_at,6642
220121_at,55180
214752_x_at,2316
203776_at,27238
201723_s_at,2589
221898_at,10630
214277_at,1353
210732_s_at,3964
220360_at,79725
211382_s_at,10579
202586_at,5441
217575_s_at,6655
210176_at,7096
207231_at,9666
200619_at,10992
218482_at,56943
208721_s_at,51433
205780_at,638
215870_s_at,5322
214080_x_at,5589
206355_at,2774
200894_s_at,2288
216953_s_at,7490
217317_s_at,400322
215552_s_at,2099
220407_s_at,7042
218692_at,55638
219509_at,58529
202956_at,10565
217820_s_at,55740
206264_at,2822
205793_x_at,8711
207139_at,495
212719_at,23239
221457_s_at,56244
208817_at,1312
219877_at,79698
207846_at,5449
214511_x_at,2210
208778_s_at,677812
209863_s_at,8626
210404_x_at,816
212858_at,124222
203668_at,4123
210544_s_at,224
219654_at,9200
216291_at,126070
214945_at,100507387
204498_s_at,115
210716_s_at,6249
202019_s_at,10314
201287_s_at,6382
219450_at,55286
206619_at,27121
208589_at,57113
206115_at,1960
205376_at,8821
205041_s_at,5004
221619_s_at,23787
217946_s_at,10055
209970_x_at,834
212846_at,23076
215190_at,10480
208961_s_at,1316
200001_at,826
200886_s_at,5223
214865_at,84444
212820_at,23312
221369_at,4543
204710_s_at,26100
204570_at,1346
221714_s_at,730092
212835_at,23172
221267_s_at,81926
203575_at,1459
219212_at,51182
203932_at,3109
AFFX-HUMISGF3A/M97935_MB_at,6772
207969_x_at,56
201093_x_at,6389
218317_x_at,548593
202248_at,1874
212413_at,23157
207827_x_at,6622
37549_g_at,27241
201379_s_at,7165
207664_at,2515
203777_s_at,6199
200848_at,10768
201325_s_at,2012
213778_x_at,92822
204388_s_at,4128
208123_at,9312
202300_at,10542
212143_s_at,3486
204484_at,5287
212707_s_at,100271927
219462_at,79639
207311_at,8447
214426_x_at,10036
216576_x_at,3514
216035_x_at,6934
87100_at,11057
1861_at,572
212440_at,11017
211220_s_at,3298
219964_at,54879
201072_s_at,6599
203469_s_at,8558
221589_s_at,4329
213531_s_at,22930
219338_s_at,54839
212640_at,201562
203676_at,2799
203856_at,7443
220195_at,55777
219536_s_at,55734
221788_at,5238
214929_s_at,84162
205823_at,6002
215684_s_at,84164
211628_x_at,2509
206627_s_at,6756
210998_s_at,3082
205186_at,7802
207108_s_at,25836
216250_s_at,9404
211703_s_at,83941
217158_at,442421
204036_at,1902
218144_s_at,64423
218461_at,51184
218758_s_at,8568
218121_at,3163
219622_at,55647
202374_s_at,25782
220478_at,80831
216788_at,10224
210374_x_at,5733
207560_at,9154
221149_at,27202
209678_s_at,5584
208826_x_at,3094
36936_at,7264
213582_at,23250
214129_at,100996724
211769_x_at,10955
215165_x_at,7372
208462_s_at,10060
209183_s_at,11067
210704_at,9637
220517_at,54832
204605_at,10668
201911_s_at,10160
214787_at,10260
213994_s_at,10418
211717_at,91369
215482_s_at,8890
220684_at,30009
205473_at,525
211715_s_at,622
214434_at,259217
212123_at,26123
213372_at,152559
208828_at,54107
207519_at,6532
222062_at,9466
213224_s_at,92482
212302_at,23168
206482_at,5753
218155_x_at,55720
40569_at,7593
217867_x_at,25825
201148_s_at,7078
206657_s_at,4654
210354_at,3458
203040_s_at,3145
208485_x_at,8837
206611_at,29798
203322_at,22850
211036_x_at,51433
221997_s_at,122704
211733_x_at,6342
210499_s_at,10084
218822_s_at,100534593
201801_s_at,2030
203313_s_at,7050
220653_at,23619
59999_at,55662
211771_s_at,5452
215834_x_at,949
220491_at,57817
218285_s_at,56898
216592_at,139081
219115_s_at,53832
221201_s_at,7711
209509_s_at,1798
219451_at,22921
206551_x_at,54800
215078_at,100129518
210560_at,2637
209590_at,655
219353_at,374354
210369_at,23075
221218_s_at,27010
219763_at,57706
221156_x_at,9236
37652_at,23523
212619_at,23306
204982_at,9815
203536_s_at,9391
202790_at,1366
208356_x_at,1442
204845_s_at,2028
203187_at,1793
206537_at,331
209984_at,23081
36084_at,9820
215645_at,201163
215961_at,2161
208981_at,5175
210417_s_at,5298
203398_s_at,2591
214478_at,6694
218329_at,11108
213413_at,11037
208923_at,23191
204548_at,6770
204252_at,1017
205561_at,79734
214111_at,4978
220166_at,26507
213022_s_at,7402
212379_at,2618
208363_s_at,3631
213161_at,158427
221128_at,8728
219381_at,65250
216411_s_at,2585
200896_x_at,3068
203232_s_at,6310
209915_s_at,9378
205075_at,5345
202252_at,5872
207861_at,6367
211034_s_at,283450
221815_at,11057
213333_at,4191
221913_at,23410
203213_at,983
218987_at,55729
201526_at,381
204447_at,9762
201152_s_at,4154
201687_s_at,8539
220397_at,56890
206520_x_at,946
212809_at,84901
221192_x_at,79157
207229_at,10748
216233_at,9332
201783_s_at,5970
216828_at,100505874
204648_at,4881
206414_s_at,8853
200811_at,1153
215920_s_at,100288332
203126_at,3613
212601_at,23140
217559_at,140801
202908_at,7466
219969_at,55787
209591_s_at,655
215516_at,22798
212930_at,490
201809_s_at,2022
212006_at,23190
217441_at,23032
218287_s_at,26523
213693_s_at,4582
218704_at,54894
37254_at,7692
217932_at,51081
219617_at,79823
204080_at,114034
219639_x_at,56965
221447_s_at,83468
218330_s_at,89797
203919_at,6919
218495_at,8409
220924_s_at,54407
215843_s_at,7093
219790_s_at,4883
213552_at,26035
207994_s_at,4988
215738_at,100861554
212250_at,92140
214351_x_at,606500
217088_s_at,9437
207814_at,1671
218439_s_at,51397
202537_s_at,25978
206643_at,3034
212164_at,653659
203125_x_at,4891
37996_s_at,1760
209457_at,1847
218037_at,79137
218956_s_at,100526740
212427_at,23392
212181_s_at,11163
214208_at,283212
215022_x_at,7582
221609_s_at,7475
41858_at,27315
211076_x_at,1822
220347_at,23293
221812_at,54455
220888_s_at,57091
210391_at,2649
208500_x_at,27022
219318_x_at,51003
220968_s_at,10867
217982_s_at,10933
204022_at,11060
221247_s_at,81554
205881_at,7625
203669_s_at,8694
218023_s_at,51307
201598_s_at,3636
204788_s_at,5498
213635_s_at,6294
202263_at,51706
202458_at,11098
220861_at,23326
212972_x_at,323
40273_at,56848
220049_s_at,80380
203913_s_at,3248
205715_at,683
210287_s_at,2321
201998_at,6480
200931_s_at,7414
217792_at,27131
218799_at,54707
220176_at,80224
219088_s_at,79177
212851_at,23142
220080_at,55336
209857_s_at,56848
207567_at,9058
218850_s_at,8994
208040_s_at,4607
211576_s_at,6573
217350_at,160313
206484_s_at,7512
218585_s_at,51514
203193_at,2101
209122_at,123
207604_s_at,9497
210669_at,7020
212940_at,1291
212813_at,83700
212508_at,64112
201689_s_at,7163
216357_at,6642
208946_s_at,8678
216017_s_at,4665
204712_at,11197
205630_at,1392
213523_at,898
217405_x_at,2822
219247_s_at,79683
216439_at,10188
202305_s_at,9637
212253_x_at,667
206797_at,10
209220_at,2719
217563_at,9575
202069_s_at,3419
205035_at,9150
202669_s_at,1948
221480_at,3184
201085_s_at,6651
222199_s_at,55909
209347_s_at,4094
207706_at,7399
203749_s_at,5914
205625_s_at,793
200664_s_at,3337
213633_at,23616
221674_s_at,8646
213651_at,27124
207682_s_at,3834
37953_s_at,41
207602_at,9407
210446_at,2623
217339_x_at,1485
214493_s_at,10207
222046_at,51593
205970_at,4504
207227_x_at,10739
213932_x_at,3105
209896_s_at,5781
220751_s_at,10826
201102_s_at,5211
212144_at,25777
209363_s_at,101928625
218634_at,23612
202278_s_at,10558
204925_at,1497
214022_s_at,8519
208832_at,25814
218258_at,51082
208909_at,7386
210600_s_at,2868
216836_s_at,2064
220221_at,55187
220646_s_at,51348
210545_at,50618
205500_at,727
212038_s_at,7416
207105_s_at,5296
201346_at,79602
206202_at,4223
212713_at,4239
216073_at,390616
212735_at,9711
211766_s_at,5408
219859_at,26253
221570_s_at,29081
215687_x_at,23236
211170_s_at,10846
216698_x_at,10821
207956_x_at,23047
216950_s_at,100132417
202535_at,8772
221677_s_at,29980
215004_s_at,57794
206748_s_at,9043
214506_at,11318
202744_at,6575
214054_at,9046
216840_s_at,3908
207183_at,2842
208598_s_at,10075
202686_s_at,558
211162_x_at,6319
212072_s_at,1457
212893_at,26009
210086_at,55806
212745_s_at,585
209065_at,7381
205783_at,26085
208944_at,7048
208094_s_at,81576
202290_at,11333
219084_at,64324
219387_at,55704
222005_s_at,2785
221872_at,5918
201900_s_at,10327
207605_x_at,51351
204540_at,1917
201675_at,8165
220393_at,51557
211551_at,1956
210349_at,814
213644_at,201134
221921_s_at,57863
217787_s_at,2590
213349_at,23023
219844_at,55088
216678_at,55764
205688_at,7023
205558_at,7189
206486_at,3902
204124_at,10568
201015_s_at,3728
205853_at,51043
217785_s_at,10652
221640_s_at,55367
206208_at,762
206502_s_at,3642
208602_x_at,923
201139_s_at,6741
204341_at,10626
209332_s_at,4149
214107_x_at,440434
202698_x_at,1327
220335_x_at,23491
204035_at,7857
206707_x_at,9750
205824_at,3316
212604_at,10240
216736_at,53345
206099_at,5583
218085_at,51510
208484_at,3024
203583_at,25972
205250_s_at,80184
201513_at,7247
210756_s_at,4853
209481_at,54861
216275_at,699
201418_s_at,6659
220669_at,54726
210550_s_at,5923
214584_x_at,32
216331_at,3679
201277_s_at,3182
206275_s_at,9645
205185_at,11005
43977_at,54929
210204_s_at,4850
201000_at,16
218604_at,23592
209855_s_at,3817
215540_at,10730
200667_at,7323
203511_s_at,27095
207545_s_at,101928143
201827_at,6603
222163_s_at,79029
208302_at,57824
214185_at,10657
205491_s_at,2707
206554_x_at,6419
218652_s_at,54872
214269_at,84179
33197_at,4647
214020_x_at,3693
206424_at,1592
217675_at,201501
200906_s_at,23022
208628_s_at,4904
203110_at,2185
213411_at,53616
222241_at,89853
218130_at,79415
219880_at,101928649
222304_x_at,26628
213564_x_at,3945
221321_s_at,30819
206100_at,1368
204604_at,5218
201781_s_at,9049
202923_s_at,2729
203149_at,5819
219851_at,79898
218544_s_at,10171
217057_s_at,2778
205781_at,9605
218988_at,55508
203397_s_at,2591
201391_at,10131
205612_at,22915
206516_at,100423031
206045_s_at,8715
205038_at,10320
204566_at,8493
215624_at,7249
210967_x_at,782
212161_at,161
202522_at,23760
218829_s_at,55636
213379_at,27235
205048_s_at,5723
203455_s_at,6303
57516_at,92595
206753_at,8608
212301_at,23168
209075_s_at,23479
40020_at,1951
220928_s_at,63976
206344_at,5444
201907_x_at,1857
205812_s_at,54732
218427_at,10807
201751_at,9929
215632_at,63973
211817_s_at,3762
216552_x_at,3809
214260_at,10920
209241_x_at,50488
222061_at,965
220798_x_at,79948
215519_x_at,27352
220651_s_at,55388
207677_s_at,4689
207112_s_at,2549
209671_x_at,28755
217308_at,26184
209455_at,23291
212699_at,192683
213480_at,8674
201444_s_at,10159
201791_s_at,1717
207642_at,3060
219620_x_at,54863
217603_at,23545
203645_s_at,9332
208823_s_at,5127
200639_s_at,7534
40472_at,254531
214395_x_at,1936
206402_s_at,8620
208718_at,10521
213568_at,116039
221767_x_at,3069
213453_x_at,2597
210138_at,8601
201295_s_at,26118
201653_at,10175
201642_at,3460
204931_at,6943
202821_s_at,4026
213858_at,58500
220941_s_at,54149
218980_at,80206
212064_x_at,4150
215334_at,22979
208808_s_at,3148
221179_at,100533178
205615_at,1357
200889_s_at,6745
211573_x_at,7052
209410_s_at,2887
209876_at,9815
209761_s_at,3431
213841_at,7143
208578_at,6336
213334_x_at,55559
209666_s_at,1147
204979_s_at,6450
220996_s_at,81626
202677_at,5921
217947_at,54918
205205_at,5971
201792_at,165
211690_at,6194
221549_at,83743
202902_s_at,1520
221475_s_at,6138
213954_at,26049
206779_s_at,438
214866_at,5329
218162_at,56944
205593_s_at,5152
207431_s_at,8560
206794_at,2066
202878_s_at,22918
216266_s_at,10565
210252_s_at,8567
214579_at,57185
204422_s_at,2247
209538_at,7580
