From,To
206087_x_at,3077
219078_at,55105
209856_x_at,10152
215287_at,6801
213465_s_at,5510
210809_s_at,10631
221328_at,26285
214270_s_at,22924
207443_at,7101
205323_s_at,4520
208313_s_at,7536
206046_at,8745
212113_at,552889
209130_at,8773
203459_s_at,64601
205999_x_at,1576
214974_x_at,6374
208228_s_at,2263
211493_x_at,1837
220620_at,54544
214494_s_at,101930112
203716_s_at,1803
219316_s_at,55640
210641_at,10753
221357_at,1132
218862_at,79754
AFFX-HSAC07/X00351_3_at,60
208546_x_at,8345
210556_at,4775
213287_s_at,3858
202635_s_at,5440
219005_at,25789
217673_x_at,2778
214181_x_at,7940
205081_at,1396
206149_at,63928
209307_at,23075
218458_at,64395
212363_x_at,60
220649_at,340351
219167_at,51285
222107_x_at,11178
221053_s_at,11022
212882_at,23276
32099_at,9667
218430_s_at,64864
221398_at,50836
217862_at,8554
216045_at,9720
40665_at,2328
203809_s_at,208
215625_at,101928669
34764_at,23395
217884_at,55226
211759_x_at,1155
200056_s_at,10438
203492_x_at,9702
212043_at,10618
219511_s_at,9627
203389_at,3797
212001_at,10147
202728_s_at,4052
220148_at,64577
209256_s_at,23008
221498_at,81609
218221_at,405
210116_at,4068
222025_s_at,26873
202463_s_at,53615
219018_s_at,317762
212739_s_at,4833
217268_at,7879
220279_at,51127
206781_at,3338
210058_at,5603
203315_at,8440
203250_at,22828
219344_at,55315
219295_s_at,26577
205998_x_at,1576
208733_at,5862
218545_at,55297
209448_at,10553
211554_s_at,317
218917_s_at,8289
218381_s_at,11338
213926_s_at,3267
212066_s_at,9736
206564_at,4987
219178_at,79691
205523_at,1404
220522_at,23418
204169_at,3614
221882_s_at,58986
221250_s_at,83463
218993_at,55178
218614_at,55196
209924_at,6362
206824_at,51716
216341_s_at,2798
221518_s_at,55031
208361_s_at,661
215138_s_at,23254
214067_at,115939
208343_s_at,2494
213833_x_at,51491
209472_at,56267
210861_s_at,8838
200999_s_at,10970
202775_s_at,6433
208879_x_at,24148
217289_s_at,2542
220774_at,54808
218077_s_at,51304
214423_x_at,229
210564_x_at,8837
210130_s_at,7108
213127_s_at,112950
202725_at,5430
213149_at,1737
34689_at,11277
218447_at,56942
214758_at,26094
209418_s_at,8563
203356_at,23473
219689_at,56920
200827_at,5351
211085_s_at,6789
208772_at,404734
215546_at,5711
217940_s_at,55739
215321_at,154661
207983_s_at,10735
212190_at,5270
206766_at,8515
213534_s_at,23178
200710_at,37
218793_s_at,6322
219728_at,9499
211644_x_at,3514
201438_at,1293
206403_at,9745
219819_s_at,28957
215364_s_at,23334
201764_at,79022
203003_at,4209
214962_s_at,23279
215840_at,146754
221314_at,2661
206270_at,5582
208328_s_at,4205
207539_s_at,3565
215741_x_at,26993
208307_at,159163
202954_at,11065
211748_x_at,5730
201834_at,5564
213890_x_at,6217
216285_at,23617
217078_s_at,11314
206922_at,353513
204330_s_at,6183
212421_at,23313
221158_at,94104
205567_at,8534
205344_at,10675
218123_at,56683
207600_at,3748
219205_at,63826
219156_at,100529257
216837_at,2044
203279_at,9695
203738_at,55322
219169_s_at,51106
201376_s_at,3185
204713_s_at,2153
219599_at,1975
215714_s_at,6597
208052_x_at,1084
220938_s_at,10691
205989_s_at,4340
216923_at,6792
217332_at,647288
207181_s_at,840
219393_s_at,10000
215293_s_at,27315
215249_at,6165
202939_at,10269
205033_s_at,1667
210237_at,9048
212415_at,23157
202017_at,2052
221527_s_at,56288
206110_at,8350
214941_s_at,55660
209149_s_at,10548
222036_s_at,4173
214069_at,123876
204441_s_at,23649
219890_at,23601
212562_s_at,1522
207157_s_at,2787
214626_s_at,23193
218511_s_at,55163
44065_at,84934
211325_x_at,171220
214888_at,824
200851_s_at,9798
202359_s_at,399979
205665_at,10867
214983_at,64595
216008_s_at,10425
209240_at,8473
214066_x_at,4882
205418_at,2242
221930_at,51533
219594_at,4815
213751_at,284352
212153_at,23126
211405_x_at,3451
202929_s_at,100037417
209627_s_at,26031
210151_s_at,8444
202199_s_at,6732
222115_x_at,84656
201685_s_at,9878
204549_at,9641
204263_s_at,1376
207565_s_at,3140
214459_x_at,3107
201811_x_at,9467
219962_at,59272
39817_s_at,10591
220909_at,80128
201893_x_at,1634
206601_s_at,3232
218878_s_at,23411
218435_at,29103
214024_s_at,85359
214795_at,23613
222015_at,1454
220623_s_at,80705
202150_s_at,4739
209892_at,2526
201143_s_at,1965
209525_at,50810
215963_x_at,6122
211146_at,3514
207736_s_at,7142
